"NIK","nama","tempat_lahir","tanggal_lahir","jenis_kelamin","golongan_darah","alamat","agama","status_perkawinan","pekerjaan","kewarganegaraan"
"0647889245898855","Rth pRc3","Banyuwangi","1988-01-05","Laki-Laki","A","Jl. Rth pRc3 No. 87","Katolik","Menikah","Tukang Batu","Perancis"
"0602246337306146","J4N3T C4Rt3r","Bekasi","1987-06-21","Laki-Laki","O","Jl. J4N3T C4Rt3r No. 16","Khonghucu","Menikah","Tentara Nasional Indonesia","Amerika"
"7467372956446372","R05VlT W4rn3r","Samarinda","1979-12-16","Laki-Laki","A","Jl. R05VlT W4rn3r No. 85","Katolik","Menikah","Buruh Peternakan","Filipina"
"7399010160733880","53Th C4RP3Ntr","Sabang","1971-02-04","Laki-Laki","O","Jl. 53Th C4RP3Ntr No. 89","Protestan","Cerai","Tabib","Indonesia"
"3931785535072303","G0rGnN RYN","Surakarta","1972-09-27","Laki-Laki","A","Jl. G0rGnN RYN No. 20","Buddha","Belum Menikah","Pengacara","Malaysia"
"4090584597263031","cLD4 tT3n","Surakarta","1955-03-05","Perempuan","O","Jl. cLD4 tT3n No. 15","Islam","Cerai","Industri","Malaysia"
"1752893831993996","SCTT MlLR","Trenggalek","1993-09-14","Perempuan","A","Jl. SCTT MlLR No. 78","Buddha","Cerai","Penyiar Televisi","Perancis"
"0442403997275923","pRsClL Wh1T3","Kediri","1975-11-16","Perempuan","B","Jl. pRsClL Wh1T3 No. 75","Protestan","Menikah","Anggota BPK","Vietnam"
"3267508482921543","KeLv1N B4rRY","Batu","2000-07-22","Laki-Laki","O","Jl. KeLv1N B4rRY No. 49","Hindu","Belum Menikah","Buruh Harian Lepas","Korea"
"5359950789320397","PegGy W1lL1am","Batu","1990-12-24","Laki-Laki","A","Jl. PegGy W1lL1am No. 17","Islam","Cerai","Pedagang","Amerika"
"5515769893710060","PauLA L0pez","Madiun","1969-01-04","Laki-Laki","AB","Jl. PauLA L0pez No. 68","Islam","Belum Menikah","Anggota Mahkamah Konstitusi","Thailand"
"7911802610940157","g0nzL m3nD3z","Binjai","1983-11-10","Laki-Laki","B","Jl. g0nzL m3nD3z No. 31","Buddha","Cerai","Tentara Nasional Indonesia","Singapura"
"0824843736690632","m4URa CL4Rk","Semarang","1990-12-16","Perempuan","O","Jl. m4URa CL4Rk No. 42","Katolik","Belum Menikah","Buruh Harian Lepas","Brunei"
