"berkas_citra","nama"
"../test/1__M_Right_index_finger.BMP","Ruth Price"
"../test/1__M_Right_ring_finger.BMP","Ruth Price"
"../test/1__M_Left_ring_finger.BMP","Ruth Price"
"../test/1__M_Left_index_finger.BMP","Ruth Price"
"../test/1__M_Right_little_finger.BMP","Ruth Price"
"../test/1__M_Right_thumb_finger.BMP","Ruth Price"
"../test/1__M_Right_middle_finger.BMP","Ruth Price"
"../test/1__M_Left_little_finger.BMP","Ruth Price"
"../test/1__M_Left_middle_finger.BMP","Ruth Price"
"../test/1__M_Left_thumb_finger.BMP","Ruth Price"
"../test/2__F_Left_little_finger.BMP","Janet Carter"
"../test/2__F_Right_little_finger.BMP","Janet Carter"
"../test/2__F_Left_middle_finger.BMP","Janet Carter"
"../test/2__F_Right_middle_finger.BMP","Janet Carter"
"../test/2__F_Right_ring_finger.BMP","Janet Carter"
"../test/2__F_Right_thumb_finger.BMP","Janet Carter"
"../test/2__F_Left_index_finger.BMP","Janet Carter"
"../test/2__F_Left_ring_finger.BMP","Janet Carter"
"../test/2__F_Right_index_finger.BMP","Janet Carter"
"../test/2__F_Left_thumb_finger.BMP","Janet Carter"
"../test/3__M_Left_thumb_finger.BMP","Roosevelt Warner"
"../test/3__M_Right_little_finger.BMP","Roosevelt Warner"
"../test/3__M_Right_index_finger.BMP","Roosevelt Warner"
"../test/3__M_Right_middle_finger.BMP","Roosevelt Warner"
"../test/3__M_Left_ring_finger.BMP","Roosevelt Warner"
"../test/3__M_Left_little_finger.BMP","Roosevelt Warner"
"../test/3__M_Right_ring_finger.BMP","Roosevelt Warner"
"../test/3__M_Left_middle_finger.BMP","Roosevelt Warner"
"../test/3__M_Left_index_finger.BMP","Roosevelt Warner"
"../test/3__M_Right_thumb_finger.BMP","Roosevelt Warner"
"../test/4__M_Left_index_finger.BMP","Seth Carpenter"
"../test/4__M_Right_ring_finger.BMP","Seth Carpenter"
"../test/4__M_Right_middle_finger.BMP","Seth Carpenter"
"../test/4__M_Right_index_finger.BMP","Seth Carpenter"
"../test/4__M_Right_little_finger.BMP","Seth Carpenter"
"../test/4__M_Left_thumb_finger.BMP","Seth Carpenter"
"../test/4__M_Left_middle_finger.BMP","Seth Carpenter"
"../test/4__M_Left_little_finger.BMP","Seth Carpenter"
"../test/4__M_Left_ring_finger.BMP","Seth Carpenter"
"../test/4__M_Right_thumb_finger.BMP","Seth Carpenter"
"../test/5__M_Right_middle_finger.BMP","Georgeann Ryan"
"../test/5__M_Right_thumb_finger.BMP","Georgeann Ryan"
"../test/5__M_Right_little_finger.BMP","Georgeann Ryan"
"../test/5__M_Right_ring_finger.BMP","Georgeann Ryan"
"../test/5__M_Left_little_finger.BMP","Georgeann Ryan"
"../test/5__M_Left_middle_finger.BMP","Georgeann Ryan"
"../test/5__M_Left_ring_finger.BMP","Georgeann Ryan"
"../test/5__M_Left_index_finger.BMP","Georgeann Ryan"
"../test/5__M_Right_index_finger.BMP","Georgeann Ryan"
"../test/5__M_Left_thumb_finger.BMP","Georgeann Ryan"
"../test/6__M_Left_ring_finger.BMP","Claudia Tuten"
"../test/6__M_Right_index_finger.BMP","Claudia Tuten"
"../test/6__M_Left_thumb_finger.BMP","Claudia Tuten"
"../test/6__M_Right_thumb_finger.BMP","Claudia Tuten"
"../test/6__M_Right_middle_finger.BMP","Claudia Tuten"
"../test/6__M_Right_little_finger.BMP","Claudia Tuten"
"../test/6__M_Left_index_finger.BMP","Claudia Tuten"
"../test/6__M_Left_middle_finger.BMP","Claudia Tuten"
"../test/6__M_Right_ring_finger.BMP","Claudia Tuten"
"../test/6__M_Left_little_finger.BMP","Claudia Tuten"
"../test/7__M_Left_little_finger.BMP","Scott Miller"
"../test/7__M_Left_middle_finger.BMP","Scott Miller"
"../test/7__M_Left_thumb_finger.BMP","Scott Miller"
"../test/7__M_Right_thumb_finger.BMP","Scott Miller"
"../test/7__M_Right_ring_finger.BMP","Scott Miller"
"../test/7__M_Left_ring_finger.BMP","Scott Miller"
"../test/7__M_Left_index_finger.BMP","Scott Miller"
"../test/7__M_Right_middle_finger.BMP","Scott Miller"
"../test/7__M_Right_index_finger.BMP","Scott Miller"
"../test/7__M_Right_little_finger.BMP","Scott Miller"
"../test/8__M_Left_index_finger.BMP","Priscilla White"
"../test/8__M_Left_middle_finger.BMP","Priscilla White"
"../test/8__M_Right_ring_finger.BMP","Priscilla White"
"../test/8__M_Left_little_finger.BMP","Priscilla White"
"../test/8__M_Right_middle_finger.BMP","Priscilla White"
"../test/8__M_Right_thumb_finger.BMP","Priscilla White"
"../test/8__M_Right_little_finger.BMP","Priscilla White"
"../test/8__M_Left_thumb_finger.BMP","Priscilla White"
"../test/8__M_Left_ring_finger.BMP","Priscilla White"
"../test/8__M_Right_index_finger.BMP","Priscilla White"
"../test/9__M_Right_middle_finger.BMP","Kelvin Barry"
"../test/9__M_Right_little_finger.BMP","Kelvin Barry"
"../test/9__M_Right_index_finger.BMP","Kelvin Barry"
"../test/9__M_Left_ring_finger.BMP","Kelvin Barry"
"../test/9__M_Right_ring_finger.BMP","Kelvin Barry"
"../test/9__M_Left_index_finger.BMP","Kelvin Barry"
"../test/9__M_Right_thumb_finger.BMP","Kelvin Barry"
"../test/9__M_Left_little_finger.BMP","Kelvin Barry"
"../test/9__M_Left_middle_finger.BMP","Kelvin Barry"
"../test/9__M_Left_thumb_finger.BMP","Kelvin Barry"
"../test/10__M_Right_thumb_finger.BMP","Peggy William"
"../test/10__M_Left_thumb_finger.BMP","Peggy William"
"../test/10__M_Left_middle_finger.BMP","Peggy William"
"../test/10__M_Left_ring_finger.BMP","Peggy William"
"../test/10__M_Left_little_finger.BMP","Peggy William"
"../test/10__M_Right_ring_finger.BMP","Peggy William"
"../test/10__M_Right_middle_finger.BMP","Peggy William"
"../test/10__M_Right_index_finger.BMP","Peggy William"
"../test/10__M_Left_index_finger.BMP","Peggy William"
"../test/10__M_Right_little_finger.BMP","Peggy William"
"../test/11__M_Right_index_finger.BMP","Paula Lopez"
"../test/11__M_Left_thumb_finger.BMP","Paula Lopez"
"../test/11__M_Left_little_finger.BMP","Paula Lopez"
"../test/11__M_Left_middle_finger.BMP","Paula Lopez"
"../test/11__M_Right_middle_finger.BMP","Paula Lopez"
"../test/11__M_Left_ring_finger.BMP","Paula Lopez"
"../test/11__M_Right_thumb_finger.BMP","Paula Lopez"
"../test/11__M_Right_little_finger.BMP","Paula Lopez"
"../test/11__M_Left_index_finger.BMP","Paula Lopez"
"../test/11__M_Right_ring_finger.BMP","Paula Lopez"
"../test/12__M_Left_middle_finger.BMP","Gonzalo Mendez"
"../test/12__M_Left_little_finger.BMP","Gonzalo Mendez"
"../test/12__M_Right_ring_finger.BMP","Gonzalo Mendez"
"../test/12__M_Right_middle_finger.BMP","Gonzalo Mendez"
"../test/12__M_Left_index_finger.BMP","Gonzalo Mendez"
"../test/12__M_Right_thumb_finger.BMP","Gonzalo Mendez"
"../test/12__M_Right_little_finger.BMP","Gonzalo Mendez"
"../test/12__M_Left_ring_finger.BMP","Gonzalo Mendez"
"../test/12__M_Right_index_finger.BMP","Gonzalo Mendez"
"../test/12__M_Left_thumb_finger.BMP","Gonzalo Mendez"
"../test/13__F_Right_middle_finger.BMP","Maura Clark"
"../test/13__F_Left_thumb_finger.BMP","Maura Clark"
"../test/13__F_Right_little_finger.BMP","Maura Clark"
"../test/13__F_Left_ring_finger.BMP","Maura Clark"
